county,state,outage_rate,major_outage_days,peak_customers_out,avg_customers_out,total_days
Kennebec,Maine,0.10719131614654002,395,67586.0,567.2162822252375,3685
Oneida,New York,0.1048265460030166,417,37630.0,415.7310206133736,3978
Broome,New York,0.10421615201900238,351,83402.0,451.5590855106888,3368
Hillsborough,New Hampshire,0.10407474695042823,401,78205.0,602.1214637944458,3853
Hancock,Maine,0.10337768679631525,404,35012.0,542.9621289662231,3908
Rensselaer,New York,0.10199444584700833,404,41294.0,399.61348144407975,3961
Atlantic,New Jersey,0.1019753086419753,413,57544.0,422.21185185185186,4050
Oxford,Maine,0.10191082802547771,368,25494.0,422.6754361672667,3611
Sullivan,New York,0.10172546999742467,395,45694.0,452.1370074684522,3883
Luzerne,Pennsylvania,0.10075187969924812,402,31950.0,384.6644110275689,3990
