storm_date,county,state,event_type,tier_severe,tier_moderate,magnitude,month,is_winter,is_summer,baseline_typical,baseline_high,baseline_extreme,tree_canopy_pct,population_density,infrastructure_vulnerability,land_area_sqmi,actual_customers,predicted_customers,predicted_major,predicted_critical,actual_major,actual_critical,major_correct,critical_correct,ci_pct,ci_low,ci_high,in_ci,pct_error
2020-10-07 16:43:00,Fairfield,Connecticut,Thunderstorm Wind,0,1,52.0,10,0,0,1914.0,3186.75,14264.400000000007,52,1529.4,0.618,626,2005.0,2975.0693359375,True,False,True,False,True,True,0.65,1041.0,4909.0,True,48.38251052057357
2020-10-07 16:43:00,Fairfield,Connecticut,Thunderstorm Wind,0,1,52.0,10,0,0,1914.0,3186.75,14264.400000000007,52,1529.4,0.618,626,2005.0,2975.0693359375,True,False,True,False,True,True,0.65,1041.0,4909.0,True,48.38251052057357
2020-10-07 16:50:00,Fairfield,Connecticut,Thunderstorm Wind,0,1,52.0,10,0,0,1914.0,3186.75,14264.400000000007,52,1529.4,0.618,626,2005.0,2327.944580078125,True,False,True,False,True,True,0.65,815.0,3841.0,True,16.106961599906484
2020-10-07 17:05:00,New Haven,Connecticut,Thunderstorm Wind,0,1,55.0,10,0,0,1892.0,3145.0,11623.449999999972,48,1425.0,0.573,605,3722.0,3435.245361328125,True,False,True,False,True,True,0.65,1202.0,5668.0,True,7.70431592347864
2020-08-04 09:51:00,Philadelphia,Pennsylvania,Tornado,1,0,,8,0,1,1830.0,2771.0,5455.1,20,11571.2,0.52,134,5698.0,5049.84765625,True,False,True,False,True,True,0.75,1262.0,8837.0,True,11.375085007897507
2020-08-04 09:50:00,Bucks,Pennsylvania,Tornado,1,0,,8,0,1,2167.0,3708.0,10131.799999999992,50,1074.1,0.515,604,79252.0,63744.35546875,True,True,True,True,True,True,0.75,15936.0,111553.0,True,19.567511900330594
2020-10-07 17:05:00,New Haven,Connecticut,Thunderstorm Wind,0,1,52.0,10,0,0,1892.0,3145.0,11623.449999999972,48,1425.0,0.573,605,3722.0,4350.13037109375,True,False,True,False,True,True,0.65,1523.0,7178.0,True,16.87615182949355
2020-10-07 16:38:00,Fairfield,Connecticut,Thunderstorm Wind,0,1,52.0,10,0,0,1914.0,3186.75,14264.400000000007,52,1529.4,0.618,626,2005.0,2975.0693359375,True,False,True,False,True,True,0.65,1041.0,4909.0,True,48.38251052057357
2020-10-07 16:39:00,Fairfield,Connecticut,Thunderstorm Wind,0,1,52.0,10,0,0,1914.0,3186.75,14264.400000000007,52,1529.4,0.618,626,2005.0,2196.9482421875,True,False,True,False,True,True,0.65,769.0,3625.0,True,9.573478413341647
2020-08-04 09:44:00,Montgomery,Pennsylvania,Tornado,1,0,,8,0,1,1824.0,3156.0,9291.199999999995,42,1783.3,0.609,483,55420.0,4223.244140625,True,False,True,True,True,False,0.75,1056.0,7391.0,False,92.37956668959761
