storm_date,county,state,event_type,tier_severe,tier_moderate,magnitude,storm_duration_hrs,month,is_winter,is_summer,is_hurricane_season,baseline_typical,baseline_high,baseline_extreme,baseline_p25,baseline_n_history,tree_canopy_pct,population_density,infrastructure_vulnerability,land_area_sqmi,population_2023,actual_customers,predicted_customers,predicted_major,predicted_critical,actual_major,actual_critical,major_correct,critical_correct,ci_pct,ci_low,ci_high,in_ci,pct_error
2020-08-28 15:13:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2089.0,3446.0,9478.5,1391.5,943,48,741.7,0.436,750,556280,2875.0,2982.230224609375,True,False,True,False,True,True,0.55,1342.0,4622.0,True,3.7297469429347827
2020-08-28 15:08:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,1824.0,3156.0,9291.199999999995,1303.0,1085,42,1783.3,0.609,483,861332,1112.0,3573.26123046875,True,False,True,False,True,True,0.55,1608.0,5539.0,False,221.3364415889164
2020-08-28 15:11:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2089.0,3446.0,9478.5,1391.5,943,48,741.7,0.436,750,556280,2875.0,2982.230224609375,True,False,True,False,True,True,0.55,1342.0,4622.0,True,3.7297469429347827
2020-08-28 15:11:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2089.0,3446.0,9478.5,1391.5,943,48,741.7,0.436,750,556280,2875.0,2745.638916015625,True,False,True,False,True,True,0.55,1236.0,4256.0,True,4.499515964673913
2020-08-28 15:15:00,Bucks,Pennsylvania,Thunderstorm Wind,1,0,60.0,0.5,8,0,1,1,2167.0,3708.0,10131.799999999992,1431.0,949,50,1074.1,0.515,604,648778,13074.0,12812.9921875,True,True,True,True,True,True,0.65,4485.0,21141.0,True,1.9963883471011166
2020-08-28 15:14:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,55.0,0.5,8,0,1,1,2167.0,3708.0,10131.799999999992,1431.0,949,50,1074.1,0.515,604,648778,13074.0,14722.1103515625,True,True,True,True,True,True,0.55,6625.0,22819.0,True,12.60601462109913
2020-08-28 15:14:00,Bucks,Pennsylvania,Thunderstorm Wind,1,0,60.0,0.5,8,0,1,1,2167.0,3708.0,10131.799999999992,1431.0,949,50,1074.1,0.515,604,648778,13074.0,11870.626953125,True,True,True,True,True,True,0.65,4155.0,19587.0,True,9.204321912765796
2020-08-28 15:36:00,Philadelphia,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,1830.0,2771.0,5455.1,1354.0,1507,20,11571.2,0.52,134,1550542,1710.0,12152.2001953125,True,True,True,False,True,False,0.55,5468.0,18836.0,False,610.6549821820175
2020-08-28 15:39:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2089.0,3446.0,9478.5,1391.5,943,48,741.7,0.436,750,556280,2875.0,3000.282470703125,True,False,True,False,True,True,0.55,1350.0,4650.0,True,4.357651154891305
2020-08-28 15:16:00,Bucks,Pennsylvania,Thunderstorm Wind,1,0,60.0,0.5,8,0,1,1,2167.0,3708.0,10131.799999999992,1431.0,949,50,1074.1,0.515,604,648778,13074.0,12420.2744140625,True,True,True,True,True,True,0.65,4347.0,20493.0,True,5.000195700914028
