storm_date,county,state,event_type,tier_severe,tier_moderate,magnitude,storm_duration_hrs,log_duration,month,month_sin,month_cos,is_winter,is_summer,is_hurricane_season,tree_canopy_pct,population_density,infrastructure_vulnerability,land_area_sqmi,population_2023,tier_x_canopy,tier_x_density,actual_customers,predicted_customers,predicted_major,predicted_critical,actual_major,actual_critical,major_correct,critical_correct,ci_pct,ci_low,ci_high,in_ci,pct_error
2020-08-28 15:16:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,48,741.7,0.436,750,556280,0.24,3.305146097337625,2999.0,2858.0908330339907,True,False,True,False,True,True,0.5,1429.0,4287.0,True,4.6985384116708655
2020-08-28 15:21:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,50,1074.1,0.515,604,648778,0.25,3.490084479745591,13074.0,13570.718899269232,True,True,True,True,True,True,0.5,6785.0,20356.0,True,3.7992878940586796
2020-08-28 15:21:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,48,741.7,0.436,750,556280,0.24,3.305146097337625,2999.0,2822.703531947055,True,False,True,False,True,True,0.5,1411.0,4234.0,True,5.878508437910799
2020-08-28 15:21:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,48,741.7,0.436,750,556280,0.24,3.305146097337625,2999.0,3137.6013790981215,True,False,True,False,True,True,0.5,1569.0,4706.0,True,4.621586498770306
2020-08-28 15:21:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,42,1783.3,0.609,483,861332,0.21,3.7433907302186915,1324.0,3876.881256746918,True,False,True,False,True,True,0.5,1938.0,5815.0,False,192.8158048902506
2020-08-28 15:23:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,55.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,50,1074.1,0.515,604,648778,0.25,3.490084479745591,13074.0,14815.574869653432,True,True,True,True,True,True,0.5,7408.0,22223.0,True,13.320903087451674
2020-08-28 15:36:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,42,1783.3,0.609,483,861332,0.21,3.7433907302186915,1324.0,3794.720441712156,True,False,True,False,True,True,0.5,1897.0,5692.0,False,186.61030526526858
2020-08-28 15:31:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,42,1783.3,0.609,483,861332,0.21,3.7433907302186915,1324.0,3506.3746749480442,True,False,True,False,True,True,0.5,1753.0,5260.0,False,164.83192408973144
2020-08-28 15:32:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,50,1074.1,0.515,604,648778,0.25,3.490084479745591,13074.0,10511.059435051062,True,True,True,True,True,True,0.5,5256.0,15767.0,True,19.60333918425071
2020-08-28 15:29:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,55.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,50,1074.1,0.515,604,648778,0.25,3.490084479745591,13074.0,14095.085359144385,True,True,True,True,True,True,0.5,7048.0,21143.0,True,7.810045580116144
2020-08-28 15:29:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,48,741.7,0.436,750,556280,0.24,3.305146097337625,2999.0,3046.5304796673254,True,False,True,False,True,True,0.5,1523.0,4570.0,True,1.5848776147824402
2020-08-28 15:30:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,50,1074.1,0.515,604,648778,0.25,3.490084479745591,13074.0,9694.940793340425,True,False,True,True,True,False,0.5,4847.0,14542.0,True,25.845641782618745
2020-08-28 15:26:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,42,1783.3,0.609,483,861332,0.21,3.7433907302186915,1324.0,3876.881256746918,True,False,True,False,True,True,0.5,1938.0,5815.0,False,192.8158048902506
2020-08-28 15:26:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,42,1783.3,0.609,483,861332,0.21,3.7433907302186915,1324.0,3794.720441712156,True,False,True,False,True,True,0.5,1897.0,5692.0,False,186.61030526526858
2020-08-28 15:59:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,55.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,50,1074.1,0.515,604,648778,0.25,3.490084479745591,13074.0,13430.522686744944,True,True,True,True,True,True,0.5,6715.0,20146.0,True,2.7269595131172073
2020-08-28 16:30:00,Ocean,New Jersey,Thunderstorm Wind,1,0,60.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,45,1063.9,0.483,628,668132,0.45,6.970636177021338,11016.0,39021.63244847398,True,True,True,True,True,True,0.55,17560.0,60484.0,False,254.2268740783767
2020-08-28 16:35:00,Ocean,New Jersey,Thunderstorm Wind,0,1,55.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,45,1063.9,0.483,628,668132,0.225,3.485318088510669,11016.0,16117.70536253304,True,True,True,True,True,True,0.5,8059.0,24177.0,True,46.311777074555565
2020-08-28 16:38:00,Ocean,New Jersey,Thunderstorm Wind,0,1,50.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,45,1063.9,0.483,628,668132,0.225,3.485318088510669,11016.0,13513.957781641311,True,True,True,True,True,True,0.5,6757.0,20271.0,True,22.675724234216695
2020-08-28 16:38:00,Ocean,New Jersey,Thunderstorm Wind,0,1,55.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,45,1063.9,0.483,628,668132,0.225,3.485318088510669,11016.0,16117.70536253304,True,True,True,True,True,True,0.5,8059.0,24177.0,True,46.311777074555565
2020-08-28 16:40:00,Ocean,New Jersey,Thunderstorm Wind,0,1,55.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,45,1063.9,0.483,628,668132,0.225,3.485318088510669,11016.0,15770.571651857443,True,True,True,True,True,True,0.5,7885.0,23656.0,True,43.16059959928688
2020-08-28 16:43:00,Ocean,New Jersey,Thunderstorm Wind,0,1,55.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,45,1063.9,0.483,628,668132,0.225,3.485318088510669,11016.0,13815.160392779217,True,True,True,True,True,True,0.5,6908.0,20723.0,True,25.409952730385044
2020-10-07 16:43:00,Fairfield,Connecticut,Thunderstorm Wind,0,1,52.0,0.5,0.4054651081081644,10,-0.8660254037844386,0.5000000000000001,0,0,1,52,1529.4,0.618,626,957419,0.26,3.6666422090630215,2005.0,3187.85860920511,True,False,True,False,True,True,0.5,1594.0,4782.0,True,58.99544185561646
2020-10-07 16:43:00,Fairfield,Connecticut,Thunderstorm Wind,0,1,52.0,0.5,0.4054651081081644,10,-0.8660254037844386,0.5000000000000001,0,0,1,52,1529.4,0.618,626,957419,0.26,3.6666422090630215,2005.0,3187.85860920511,True,False,True,False,True,True,0.5,1594.0,4782.0,True,58.99544185561646
2020-10-07 16:50:00,Fairfield,Connecticut,Thunderstorm Wind,0,1,52.0,0.5,0.4054651081081644,10,-0.8660254037844386,0.5000000000000001,0,0,1,52,1529.4,0.618,626,957419,0.26,3.6666422090630215,2005.0,2487.23390606881,True,False,True,False,True,True,0.5,1244.0,3731.0,True,24.05156638747182
2020-10-07 17:05:00,New Haven,Connecticut,Thunderstorm Wind,0,1,55.0,0.5,0.4054651081081644,10,-0.8660254037844386,0.5000000000000001,0,0,1,48,1425.0,0.573,605,862127,0.24,3.6313143004871207,3722.0,9714.144358257303,True,False,True,False,True,True,0.5,4857.0,14571.0,False,160.99259425731606
2020-08-04 09:51:00,Philadelphia,Pennsylvania,Tornado,1,0,0.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,20,11571.2,0.52,134,1550542,0.2,9.356360949043806,5698.0,3834.3240879492823,True,False,True,False,True,True,0.55,1725.0,5943.0,True,32.70754496403506
2020-08-04 09:50:00,Bucks,Pennsylvania,Tornado,1,0,0.0,0.5,0.4054651081081644,8,-0.8660254037844385,-0.5000000000000004,0,1,1,50,1074.1,0.515,604,648778,0.5,6.980168959491182,79252.0,70352.8268494385,True,True,True,True,True,True,0.55,31659.0,109047.0,True,11.228957187908826
2020-10-07 17:05:00,New Haven,Connecticut,Thunderstorm Wind,0,1,52.0,0.5,0.4054651081081644,10,-0.8660254037844386,0.5000000000000001,0,0,1,48,1425.0,0.573,605,862127,0.24,3.6313143004871207,3722.0,15869.833308109275,True,True,True,False,True,False,0.5,7935.0,23805.0,False,326.3791861394217
2020-10-07 16:38:00,Fairfield,Connecticut,Thunderstorm Wind,0,1,52.0,0.5,0.4054651081081644,10,-0.8660254037844386,0.5000000000000001,0,0,1,52,1529.4,0.618,626,957419,0.26,3.6666422090630215,2005.0,3187.85860920511,True,False,True,False,True,True,0.5,1594.0,4782.0,True,58.99544185561646
