state,county,outage_days,total_days,max_customers,avg_customers,total_cust_hours,outage_rate,state_risk,risk_score,risk_level
New Hampshire,Hillsborough,52,502,78205.0,753.8924302788845,3526720.5,0.10358565737051793,0.75,0.3622,HIGH
New Hampshire,Rockingham,52,512,36505.0,578.66015625,1732911.0,0.1015625,0.75,0.3609,HIGH
New York,Ulster,63,519,19621.0,514.0905587668593,1438061.5,0.12138728323699421,0.72,0.3608,HIGH
New Jersey,Passaic,103,519,9782.0,530.3236994219653,469855.0,0.19845857418111754,0.6,0.3591,HIGH
New York,Hamilton,26,238,3245.0,261.64285714285717,357137.0,0.1092436974789916,0.72,0.3535,HIGH
New York,Dutchess,56,518,18423.0,471.67760617760615,1246755.0,0.10810810810810811,0.72,0.3529,HIGH
Pennsylvania,Allegheny,69,516,26543.0,583.0581395348837,1106783.25,0.13372093023255813,0.68,0.3522,HIGH
New York,Saratoga,54,505,25001.0,428.5920792079208,708120.0,0.10693069306930693,0.72,0.3522,HIGH
New York,Albany,55,517,12085.0,380.7388781431335,442660.0,0.10638297872340426,0.72,0.3518,HIGH
Vermont,Windham,30,464,11839.0,291.48491379310343,532318.5,0.06465517241379311,0.78,0.3508,HIGH
New York,Putnam,43,414,9726.0,308.55314009661834,501691.0,0.10386473429951691,0.72,0.3503,HIGH
Pennsylvania,Delaware,67,519,9416.0,515.4412331406551,629027.25,0.12909441233140656,0.68,0.3495,MEDIUM-HIGH
Pennsylvania,Berks,65,519,14016.0,418.3217726396917,662423.5,0.1252408477842004,0.68,0.3471,MEDIUM-HIGH
New York,Sullivan,43,470,7247.0,332.3127659574468,594926.25,0.09148936170212765,0.72,0.3429,MEDIUM-HIGH
Vermont,Windsor,22,449,7227.0,181.69933184855233,471921.75,0.04899777282850779,0.78,0.3414,MEDIUM-HIGH
Massachusetts,Suffolk,57,420,5018.0,454.52142857142854,567280.75,0.1357142857142857,0.65,0.3414,MEDIUM-HIGH
Vermont,Bennington,18,380,5736.0,159.00263157894736,183093.25,0.04736842105263158,0.78,0.3404,MEDIUM-HIGH
New York,Rockland,44,515,4928.0,259.4,298733.5,0.0854368932038835,0.72,0.3393,MEDIUM-HIGH
Connecticut,New Haven,82,517,22382.0,604.1295938104449,1074484.0,0.15860735009671179,0.61,0.3392,MEDIUM-HIGH
Pennsylvania,Northampton,57,513,16535.0,497.75828460038986,523619.25,0.1111111111111111,0.68,0.3387,MEDIUM-HIGH
Pennsylvania,York,57,519,27662.0,422.252408477842,547644.75,0.10982658959537572,0.68,0.3379,MEDIUM-HIGH
New Hampshire,Merrimack,27,438,61747.0,548.769406392694,2453806.75,0.06164383561643835,0.75,0.337,MEDIUM-HIGH
Pennsylvania,Monroe,55,513,8455.0,358.3411306042885,504046.0,0.10721247563352826,0.68,0.3363,MEDIUM-HIGH
Massachusetts,Plymouth,65,515,26447.0,618.7436893203884,1242702.5,0.1262135922330097,0.65,0.3357,MEDIUM-HIGH
New York,Queens,41,520,4873.0,329.08076923076925,809961.75,0.07884615384615384,0.72,0.3353,MEDIUM-HIGH
Pennsylvania,Westmoreland,54,518,8518.0,318.4382239382239,490276.0,0.10424710424710425,0.68,0.3345,MEDIUM-HIGH
Massachusetts,Norfolk,64,516,29814.0,531.2848837209302,1014776.5,0.12403100775193798,0.65,0.3344,MEDIUM-HIGH
New Jersey,Burlington,81,517,27600.0,537.3365570599614,404993.5,0.15667311411992263,0.6,0.334,MEDIUM-HIGH
New York,Rensselaer,37,488,4921.0,204.28688524590163,304955.0,0.07581967213114754,0.72,0.3335,MEDIUM-HIGH
Vermont,Orange,11,308,6336.0,151.41558441558442,307292.75,0.03571428571428571,0.78,0.3334,MEDIUM-HIGH
New Jersey,Camden,80,516,8148.0,548.8837209302326,422506.25,0.15503875968992248,0.6,0.333,MEDIUM-HIGH
Vermont,Chittenden,16,459,9214.0,154.54901960784315,491153.5,0.034858387799564274,0.78,0.3329,MEDIUM-HIGH
Vermont,Washington,12,344,4438.0,141.08139534883722,333828.0,0.03488372093023256,0.78,0.3329,MEDIUM-HIGH
New Hampshire,Strafford,23,428,26902.0,354.2873831775701,1205872.25,0.053738317757009345,0.75,0.3322,MEDIUM-HIGH
Vermont,Rutland,15,448,9560.0,173.56473214285714,603981.0,0.033482142857142856,0.78,0.3321,MEDIUM-HIGH
Pennsylvania,Lancaster,51,513,6315.0,308.6101364522417,348905.75,0.09941520467836257,0.68,0.3316,MEDIUM-HIGH
New Jersey,Mercer,78,513,11153.0,432.2923976608187,251081.5,0.15204678362573099,0.6,0.3312,MEDIUM-HIGH
New York,Broome,26,368,24302.0,301.89130434782606,235640.5,0.07065217391304347,0.72,0.3304,MEDIUM-HIGH
New York,Herkimer,27,382,4156.0,223.34816753926702,333690.75,0.07068062827225131,0.72,0.3304,MEDIUM-HIGH
Vermont,Addison,11,366,4799.0,120.09836065573771,344664.5,0.030054644808743168,0.78,0.33,MEDIUM-HIGH
New York,Kings,36,520,7164.0,302.6596153846154,1183228.25,0.06923076923076923,0.72,0.3295,MEDIUM-HIGH
New Jersey,Hudson,77,516,11344.0,492.43992248062017,298611.75,0.14922480620155038,0.6,0.3295,MEDIUM-HIGH
New Jersey,Union,77,516,22493.0,510.1143410852713,384835.25,0.14922480620155038,0.6,0.3295,MEDIUM-HIGH
Connecticut,Fairfield,72,520,24796.0,538.3038461538462,1051254.25,0.13846153846153847,0.61,0.3271,MEDIUM-HIGH
New York,Tompkins,20,309,7218.0,240.55016181229774,132802.75,0.06472491909385113,0.72,0.3268,MEDIUM-HIGH
New York,Ontario,25,397,6548.0,207.12090680100755,199355.75,0.06297229219143577,0.72,0.3258,MEDIUM-HIGH
